jump_rate,jump_scale,diffusion_sigma,observation_noise,n_observations,n_replicates,n_precision_evaluable,n_recall_evaluable,precision_mean,precision_sd,precision_median,recall_mean,recall_sd,false_positive_rate_mean,f1_mean,mean_true_jumps
0.25,0.5,0.1,0.0,40,50,32,37,0.9192708333333334,0.21739370883624268,1.0,0.8153153153153153,0.3763530810842947,0.0026615481878639775,0.9502304147465437,1.26
0.25,0.5,0.1,0.1,20,50,50,33,0.16407575757575757,0.17068431664007172,0.13392857142857142,0.7646464646464647,0.32595366426194883,0.315734126984127,0.36047857866039684,1.46
0.25,0.5,0.1,0.1,40,50,50,33,0.051774721348856495,0.05336143740109849,0.054093567251461985,0.9141414141414141,0.224850305609443,0.44185440732809156,0.14157216152523242,1.06
0.25,0.5,0.1,0.25,20,50,50,43,0.09436417993770935,0.0654409397844385,0.08333333333333333,0.8585271317829457,0.2935229386541717,0.6694631922944616,0.19057409718544432,1.46
0.25,0.5,0.1,0.25,40,50,50,32,0.03959635085591704,0.04515464650737933,0.03333333333333333,0.828125,0.2977946870366229,0.7624074144321823,0.11282406241369745,1.42
0.25,0.5,0.2,0.0,20,50,21,36,1.0,0.0,1.0,0.4884259259259259,0.45257323259799354,0.0,0.8931972789115645,1.24
0.25,0.5,0.2,0.0,40,50,34,35,0.8627450980392156,0.3055893137512277,1.0,0.7323809523809524,0.35723024141042603,0.0037030622293780183,0.8503328213005632,1.36
0.25,0.5,0.2,0.1,20,50,44,27,0.31477272727272726,0.3892153358191754,0.0,0.7160493827160493,0.4282113834551161,0.07325619195046439,0.6055238095238096,0.82
0.25,0.5,0.2,0.1,40,50,50,36,0.1282092352092352,0.13745876903685975,0.10555555555555556,0.7305555555555556,0.34080902812395336,0.18020728628468569,0.27189222814222813,1.36
0.25,0.5,0.2,0.25,20,50,50,30,0.06347763347763348,0.08580963427072155,0.0,0.5361111111111111,0.4493947256171527,0.39999681802545584,0.17180856180856183,1.0
0.25,0.5,0.2,0.25,40,50,50,35,0.0350484728467566,0.04124317974951937,0.039230769230769236,0.6261904761904762,0.42317052825670726,0.5491456986193828,0.09110124684852734,1.18
0.25,0.5,0.35,0.0,20,50,18,34,0.8333333333333334,0.3834824944236852,1.0,0.35784313725490197,0.44263968089898775,0.0042690058479532165,0.8160714285714286,1.2
0.25,0.5,0.35,0.0,40,50,23,31,0.9347826086956522,0.22884829364008,1.0,0.5483870967741935,0.41765116666081775,0.0015789473684210526,0.7956521739130435,1.06
0.25,0.5,0.35,0.1,20,50,37,38,0.5,0.4581228472908511,0.5,0.42368421052631583,0.42790486823647034,0.03028672170622635,0.4984375,1.3
0.25,0.5,0.35,0.1,40,50,46,34,0.2391304347826087,0.3270371555759593,0.0,0.45098039215686275,0.41949426775740695,0.04808831156199577,0.3618023553507424,1.14
0.25,0.5,0.35,0.25,20,50,50,38,0.1592142857142857,0.19256790179637495,0.15476190476190477,0.6096491228070176,0.4319734653412979,0.19577399380804952,0.29101921470342523,1.1
0.25,0.5,0.35,0.25,40,50,50,36,0.06682737523913994,0.06579355642628011,0.06904761904761905,0.6643518518518519,0.3686559194545147,0.3127028833344623,0.156570123263431,1.34
0.25,0.9,0.1,0.0,20,50,39,41,0.9658119658119657,0.16745204070098033,1.0,0.8882113821138211,0.28112482158580926,0.0022875816993464053,0.9433455433455433,1.56
0.25,0.9,0.1,0.0,40,50,33,36,0.9343434343434343,0.22024053272704425,1.0,0.8310185185185186,0.33362255970734206,0.002105263157894737,0.9037518037518038,1.26
