replicate,scenario,event,interval,event_time,time_start,time_end,from,to,branch_from,branch_to,n_jumps,magnitude
254,branch_reorganization,branch_transition,13,0.7777777777777777,0.7222222222222222,0.7777777777777777,1.0,0.0,,,,
254,branch_reorganization,branch_transition,1,0.1111111111111111,,,,,0.0,1.0,,
254,branch_reorganization,branch_transition,13,0.7777777777777777,,,,,1.0,0.0,,
260,branch_reorganization,branch_transition,10,0.611111111111111,0.5555555555555556,0.611111111111111,0.0,1.0,,,,
260,branch_reorganization,branch_transition,15,0.8888888888888888,0.8333333333333333,0.8888888888888888,1.0,0.0,,,,
260,branch_reorganization,branch_transition,10,0.611111111111111,,,,,0.0,1.0,,
260,branch_reorganization,branch_transition,15,0.8888888888888888,,,,,1.0,0.0,,
266,branch_reorganization,branch_transition,17,1.0,0.9444444444444444,1.0,0.0,1.0,,,,
266,branch_reorganization,branch_transition,17,1.0,,,,,0.0,1.0,,
269,branch_reorganization,branch_transition,14,0.8333333333333333,0.7777777777777777,0.8333333333333333,0.0,1.0,,,,
269,branch_reorganization,branch_transition,14,0.8333333333333333,,,,,0.0,1.0,,
272,branch_reorganization,branch_transition,7,0.4444444444444444,0.38888888888888884,0.4444444444444444,0.0,1.0,,,,
272,branch_reorganization,branch_transition,7,0.4444444444444444,,,,,0.0,1.0,,
278,branch_reorganization,branch_transition,5,0.3333333333333333,0.2777777777777778,0.3333333333333333,0.0,1.0,,,,
278,branch_reorganization,branch_transition,10,0.611111111111111,0.5555555555555556,0.611111111111111,1.0,0.0,,,,
278,branch_reorganization,branch_transition,15,0.8888888888888888,0.8333333333333333,0.8888888888888888,0.0,1.0,,,,
278,branch_reorganization,branch_transition,5,0.3333333333333333,,,,,0.0,1.0,,
278,branch_reorganization,branch_transition,10,0.611111111111111,,,,,1.0,0.0,,
278,branch_reorganization,branch_transition,15,0.8888888888888888,,,,,0.0,1.0,,
281,branch_reorganization,branch_transition,6,0.38888888888888884,0.3333333333333333,0.38888888888888884,0.0,1.0,,,,
281,branch_reorganization,branch_transition,6,0.38888888888888884,,,,,0.0,1.0,,
284,branch_reorganization,branch_transition,4,0.2777777777777778,0.2222222222222222,0.2777777777777778,0.0,1.0,,,,
284,branch_reorganization,branch_transition,17,1.0,0.9444444444444444,1.0,1.0,0.0,,,,
284,branch_reorganization,branch_transition,4,0.2777777777777778,,,,,0.0,1.0,,
284,branch_reorganization,branch_transition,17,1.0,,,,,1.0,0.0,,
290,branch_reorganization,branch_transition,0,0.05555555555555555,0.0,0.05555555555555555,0.0,1.0,,,,
290,branch_reorganization,branch_transition,8,0.5,0.4444444444444444,0.5,1.0,0.0,,,,
290,branch_reorganization,branch_transition,0,0.05555555555555555,,,,,0.0,1.0,,
290,branch_reorganization,branch_transition,8,0.5,,,,,1.0,0.0,,
