n_observations,noise_sd,missing_probability,interval_pattern,replicate,observed_n,theta_true,sigma_true,theta_naive,sigma_naive,theta_abs_error_naive,sigma_abs_error_naive,theta_bound_naive,sigma_bound_naive,fit_success_naive,theta_measurement_aware,sigma_measurement_aware,theta_abs_error_measurement_aware,sigma_abs_error_measurement_aware,theta_bound_measurement_aware,sigma_bound_measurement_aware,fit_success_measurement_aware,theta_estimate,theta_abs_error,sigma_estimate,sigma_abs_error,success,theta_squared_error_naive,theta_squared_error_measurement_aware,sigma_squared_error_naive,sigma_squared_error_measurement_aware
5,0.0,0.0,irregular,3,5,0.8,0.25,15.09752019629966,0.4428096190483448,14.297520196299658,0.1928096190483448,False,False,True,15.09752019629966,0.4428096190483448,14.297520196299658,0.1928096190483448,False,False,True,15.09752019629966,14.297520196299658,0.4428096190483448,0.1928096190483448,True,204.41908376359666,204.41908376359666,0.03717554919756785,0.03717554919756785
5,0.0,0.0,irregular,4,5,0.8,0.25,2.0924579080236394,0.4129850911575063,1.2924579080236394,0.1629850911575063,False,False,True,2.0924579080236394,0.4129850911575063,1.2924579080236394,0.1629850911575063,False,False,True,2.0924579080236394,1.2924579080236394,0.4129850911575063,0.1629850911575063,True,1.6704474440128423,1.6704474440128423,0.026564139939620642,0.026564139939620642
5,0.0,0.0,irregular,5,5,0.8,0.25,19.999999999999996,0.7280311490276937,19.199999999999996,0.4780311490276937,True,False,True,19.999999999999996,0.7280311490276937,19.199999999999996,0.4780311490276937,True,False,True,19.999999999999996,19.199999999999996,0.7280311490276937,0.4780311490276937,True,368.6399999999998,368.6399999999998,0.2285137794407371,0.2285137794407371
5,0.0,0.0,irregular,6,5,0.8,0.25,0.0312528561110033,0.1163329352689951,0.7687471438889967,0.1336670647310048,False,False,True,0.0312528561110033,0.1163329352689951,0.7687471438889967,0.1336670647310048,False,False,True,0.0312528561110033,0.7687471438889967,0.1163329352689951,0.1336670647310048,True,0.5909721712374899,0.5909721712374899,0.017866884193802654,0.017866884193802654
5,0.0,0.0,irregular,7,5,0.8,0.25,2.064420135661489,0.2121723929458321,1.2644201356614888,0.0378276070541678,False,False,True,2.064420135661489,0.2121723929458321,1.2644201356614888,0.0378276070541678,False,False,True,2.064420135661489,1.2644201356614888,0.2121723929458321,0.0378276070541678,True,1.5987582794662178,1.5987582794662178,0.0014309278554445334,0.0014309278554445334
5,0.0,0.0,irregular,8,5,0.8,0.25,5.824990600531073,0.3671471589197056,5.024990600531074,0.1171471589197056,False,False,True,5.824990600531073,0.3671471589197056,5.024990600531074,0.1171471589197056,False,False,True,5.824990600531073,5.024990600531074,0.3671471589197056,0.1171471589197056,True,25.25053053542564,25.25053053542564,0.013723456842958764,0.013723456842958764
5,0.0,0.0,irregular,9,5,0.8,0.25,0.1963880600801282,0.1292951133925122,0.6036119399198718,0.1207048866074878,False,False,True,0.1963880600801282,0.1292951133925122,0.6036119399198718,0.1207048866074878,False,False,True,0.1963880600801282,0.6036119399198718,0.1292951133925122,0.1207048866074878,True,0.36434737401383094,0.36434737401383094,0.014569669650926487,0.014569669650926487
5,0.0,0.1,regular,0,4,0.8,0.25,0.8477700504855138,0.2030875563759358,0.0477700504855137,0.0469124436240641,False,False,True,0.8477700504855138,0.2030875563759358,0.0477700504855137,0.0469124436240641,False,False,True,0.8477700504855138,0.0477700504855137,0.2030875563759358,0.0469124436240641,True,0.0022819777233885324,0.0022819777233885324,0.0022007773667810007,0.0022007773667810007
5,0.0,0.1,regular,1,5,0.8,0.25,1.5905751991400414,0.4375844772006219,0.7905751991400414,0.1875844772006219,False,False,True,1.5905751991400414,0.4375844772006219,0.7905751991400414,0.1875844772006219,False,False,True,1.5905751991400414,0.7905751991400414,0.4375844772006219,0.1875844772006219,True,0.625009145495316,0.625009145495316,0.03518793608663063,0.03518793608663063
5,0.0,0.1,regular,2,5,0.8,0.25,16.06369486151501,1.199355687868327,15.26369486151501,0.9493556878683268,False,False,True,16.06369486151501,1.199355687868327,15.26369486151501,0.9493556878683268,False,False,True,16.06369486151501,15.26369486151501,1.199355687868327,0.9493556878683268,True,232.9803808254397,232.9803808254397,0.9012762220879441,0.9012762220879441
