n_observations,noise_sd,missing_probability,interval_pattern,n_fits,observed_n_mean,theta_rmse_naive,theta_rmse_measurement_aware,theta_rmse_improvement,sigma_rmse_naive,sigma_rmse_measurement_aware,sigma_rmse_improvement,theta_boundary_fraction_naive,theta_boundary_fraction_measurement_aware,theta_boundary_reduction,sigma_boundary_fraction_naive,sigma_boundary_fraction_measurement_aware,sigma_boundary_reduction,fit_success_fraction_naive,fit_success_fraction_measurement_aware
10,0.1,0.3,regular,10,7.7,6.267724524074675,6.278621034278327,-0.010896510203652454,0.21295833486177773,0.1469169131001558,0.06604142176162192,0.1,0.1,0.0,0.0,0.0,0.0,1.0,1.0
10,0.25,0.0,irregular,10,10.0,16.239000463209873,15.741752747555012,0.49724771565486137,1.2057445532258495,0.3871893763113017,0.8185551769145478,0.7,0.6,0.09999999999999998,0.0,0.0,0.0,1.0,1.0
10,0.25,0.0,regular,10,10.0,13.661168131067297,13.62808563809738,0.03308249296991761,1.111409429315128,0.6134208110495691,0.49798861826555885,0.5,0.4,0.09999999999999998,0.0,0.0,0.0,1.0,1.0
10,0.25,0.1,irregular,10,9.0,11.459443383932205,12.255725476450484,-0.796282092518279,0.9285293375623432,0.415397525589972,0.5131318119723712,0.3,0.4,-0.10000000000000003,0.0,0.0,0.0,1.0,1.0
10,0.25,0.1,regular,10,9.3,12.129893630162885,12.28175229845652,-0.15185866829363626,0.9520365374157802,0.51103357133117,0.4410029660846102,0.3,0.4,-0.10000000000000003,0.0,0.0,0.0,1.0,1.0
10,0.25,0.3,irregular,10,7.4,13.700110756481415,13.961780668920929,-0.26166991243951365,1.1031771745481398,0.5162100597728113,0.5869671147753285,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0
10,0.25,0.3,regular,10,7.1,14.803960841167978,14.91000207567678,-0.10604123450880287,1.1178321647042821,0.5916359552548962,0.5261962094493859,0.4,0.5,-0.09999999999999998,0.0,0.0,0.0,1.0,1.0
10,0.5,0.0,irregular,10,10.0,16.169601899861817,14.25075857641733,1.918843323444488,4.109694749980837,1.0324314409378306,3.077263309043006,0.7,0.4,0.29999999999999993,0.0,0.0,0.0,1.0,1.0
10,0.5,0.0,regular,10,10.0,13.407083410758029,13.63114377939194,-0.22406036863391066,2.055358162369764,1.0305640320447302,1.0247941303250336,0.2,0.4,-0.2,0.0,0.0,0.0,1.0,1.0
10,0.5,0.1,irregular,10,8.8,14.789898755945078,13.777322488601042,1.012576267344036,2.627946820427206,0.5939206361482581,2.0340261842789475,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0
