branch_separation,switching_rate,diffusion_sigma,observation_noise,n_observations,n_replicates,mean_true_transitions,state_accuracy_mean,state_accuracy_sd,ari_mean,ari_sd,transition_f1_mean
0.5,0.7,0.2,0.0,20,50,2.96,0.718,0.1445471464644682,0.17633062104465128,0.23439949549078773,0.17132275132275132
0.5,0.7,0.2,0.0,40,50,3.0,0.74,0.14759984514122731,0.21179024491015425,0.2801516345449676,0.09426039077201867
0.5,0.7,0.2,0.1,20,50,2.62,0.7,0.14708043058552855,0.1097187609641507,0.23664665068986873,0.1021141737050828
0.5,0.7,0.2,0.1,40,50,3.28,0.6890000000000001,0.124043277503771,0.13594440836211225,0.15827148100061575,0.10907633662210321
0.5,0.7,0.2,0.25,20,50,2.82,0.6709999999999999,0.1262044017473565,0.08931079627348129,0.20705601914150537,0.18432249939602882
0.5,0.7,0.2,0.25,40,50,3.52,0.619,0.11611922092998968,0.04176538774976247,0.10342415034678752,0.16170438522014915
0.5,0.7,0.2,0.5,20,50,3.08,0.619,0.1332061468214602,0.04387737484646539,0.14750840938662454,0.23151011910203087
0.5,0.7,0.2,0.5,40,50,3.26,0.564,0.08270922757788643,0.011318702628484391,0.06316391069459519,0.13447042742022486
0.5,0.7,0.35,0.0,20,50,2.4,0.6779999999999999,0.1738401799448715,0.06599066742529378,0.1631514263333058,0.10666438824333561
0.5,0.7,0.35,0.0,40,50,3.54,0.631,0.14538478150713557,0.07241122293340994,0.1859048251234494,0.07945397526599572
0.5,0.7,0.35,0.1,20,50,2.94,0.648,0.17022194395577095,0.12811215750875793,0.22176582749928211,0.1766373722895462
0.5,0.7,0.35,0.1,40,50,3.1,0.6585,0.16824499264768747,0.110470443376542,0.21455123111446914,0.12169104044104044
