panel,scenario,parameter,panel_title,symbol,replicate,truth,estimate,error,absolute_error,squared_error
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,35,0.2,0.1714580487554403,-0.028541951244559716,0.028541951244559716,0.0008146429808468239
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,36,0.2,0.3227961320152631,0.12279613201526307,0.12279613201526307,0.015078890037909916
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,37,0.2,0.3796187838037516,0.17961878380375157,0.17961878380375157,0.03226290749513885
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,38,0.2,0.3305365896873961,0.13053658968739607,0.13053658968739607,0.017039801247215595
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,39,0.2,0.3013685599698085,0.10136855996980848,0.10136855996980848,0.010275584950352658
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,40,0.2,0.4349966215197692,0.2349966215197692,0.2349966215197692,0.05522341212570565
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,41,0.2,0.1932805403123914,-0.00671945968760862,0.00671945968760862,4.5151138493397335e-05
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,42,0.2,0.2999682871591829,0.09996828715918288,0.09996828715918288,0.009993658437540848
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,43,0.2,-0.407620634067322,-0.607620634067322,0.607620634067322,0.36920283494437445
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,44,0.2,0.1571617550056085,-0.04283824499439151,0.04283824499439151,0.0018351152341995094
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,45,0.2,0.3095715256402259,0.10957152564022588,0.10957152564022588,0.012005919231126677
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,46,0.2,0.2066554956690172,0.006655495669017186,0.006655495669017186,4.4295622600306524e-05
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,47,0.2,0.4071727550422724,0.2071727550422724,0.2071727550422724,0.0429205504318054
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,48,0.2,0.2192838049103907,0.019283804910390695,0.019283804910390695,0.00037186513182200826
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,49,0.2,-0.1074413889721703,-0.3074413889721703,0.3074413889721703,0.09452020765313733
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,50,0.2,-2.798011235719523,-2.998011235719523,2.998011235719523,8.988071369500501
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,51,0.2,0.0378559363889554,-0.1621440636110446,0.1621440636110446,0.02629069736430248
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,52,0.2,0.1696147690779703,-0.030385230922029716,0.030385230922029716,0.0009232622581850708
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,53,0.2,0.1866907080301116,-0.01330929196988842,0.01330929196988842,0.0001771372527397364
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,54,0.2,0.0954036166605306,-0.10459638333946941,0.10459638333946941,0.010940403407697235
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,55,0.2,-0.1605019056541144,-0.36050190565411444,0.36050190565411444,0.12996162398024802
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,56,0.2,0.4742718455246828,0.2742718455246828,0.2742718455246828,0.07522504524751547
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,57,0.2,0.4191627996995621,0.2191627996995621,0.2191627996995621,0.048032332772150375
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,58,0.2,0.2329570730496715,0.03295707304967149,0.03295707304967149,0.001086168664001383
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,59,0.2,0.4723550027757209,0.2723550027757209,0.2723550027757209,0.07417724753696293
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,60,0.2,0.0928945006203999,-0.10710549937960011,0.10710549937960011,0.01147158799735352
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,61,0.2,0.1667928545592552,-0.03320714544074482,0.03320714544074482,0.0011027145083227798
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,62,0.2,0.1208572136539513,-0.07914278634604871,0.07914278634604871,0.006263580630616314
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,63,0.2,0.1005402383810786,-0.09945976161892141,0.09945976161892141,0.009892244181292672
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,64,0.2,0.2681871388223666,0.0681871388223666,0.0681871388223666,0.004649485900780694
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,65,0.2,0.275153897209669,0.07515389720966897,0.07515389720966897,0.00564810826580149
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,66,0.2,0.2487859402378284,0.048785940237828396,0.048785940237828396,0.002380067964888964
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,67,0.2,0.2781740354188933,0.07817403541889328,0.07817403541889328,0.006111179813674382
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,68,0.2,0.2724746905320089,0.07247469053200889,0.07247469053200889,0.005252580767710459
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,69,0.2,0.359090569003331,0.15909056900333096,0.15909056900333096,0.02530980914580361
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,70,0.2,0.034705369941757,-0.16529463005824302,0.16529463005824302,0.027322314726091416
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,71,0.2,0.0713324284157174,-0.1286675715842826,0.1286675715842826,0.016555343977396487
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,72,0.2,0.1824479740599216,-0.017552025940078403,0.017552025940078403,0.0003080736146011851
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,73,0.2,0.3941395128464472,0.1941395128464472,0.1941395128464472,0.03769015044825584
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,74,0.2,0.0484258132652701,-0.15157418673472992,0.15157418673472992,0.022974734084294773
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,75,0.2,0.3703304614476554,0.1703304614476554,0.1703304614476554,0.029012466096971223
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,76,0.2,0.4624273964031055,0.2624273964031055,0.2624273964031055,0.06886813838291266
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,77,0.2,0.3020295147474998,0.10202951474749977,0.10202951474749977,0.010410021879610274
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,78,0.2,0.0748597822504677,-0.12514021774953232,0.12514021774953232,0.015660074098400364
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,79,0.2,-0.1039031809408876,-0.30390318094088764,0.30390318094088764,0.0923571433859899
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,80,0.2,-0.0659631938617073,-0.2659631938617073,0.2659631938617073,0.0707364204891201
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,81,0.2,0.2701360005156736,0.07013600051567359,0.07013600051567359,0.0049190585683345665
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,82,0.2,0.1036560171670133,-0.09634398283298672,0.09634398283298672,0.009282163028122839
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,83,0.2,0.2460089221433863,0.04600892214338628,0.04600892214338628,0.002116820916796181
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,84,0.2,0.1792396025574548,-0.02076039744254521,0.02076039744254521,0.00043099410197243763
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,85,0.2,0.0968443471159851,-0.10315565288401492,0.10315565288401492,0.010641088721927375
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,86,0.2,0.2054136268795971,0.005413626879597094,0.005413626879597094,2.930735599149617e-05
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,87,0.2,0.3184701913352822,0.1184701913352822,0.1184701913352822,0.014035186235018373
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,88,0.2,0.2930047760186548,0.09300477601865481,0.09300477601865481,0.008649888362280148
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,89,0.2,0.2027622748835017,0.0027622748835016975,0.0027622748835016975,7.630162532024316e-06
