generator,difficulty,test_id,selected_model,test_elpd,test_elpd_per_obs,test_rmse,coverage95,residual_acf1,correct
OU+B,Difficult,7,OU+T,-8.190353674155896,-0.744577606741445,0.5075493051522821,0.9090909090909091,-0.1697315955629105,0.0
OU+B,Difficult,8,OU+T,-6.038834752936753,-0.5489849775397049,0.4052547244928957,1.0,-0.5779789365945888,0.0
OU+B,Difficult,9,OU+L,-4.724262587198984,-0.4294784170180895,0.36717408162047827,1.0,-0.27758701100594685,0.0
OU+B,Difficult,10,OU+T,-7.593715987656558,-0.6903378170596871,0.48385134336007274,1.0,-0.28964841873791825,0.0
OU+B,Difficult,11,OULB,-4.725409118720456,-0.42958264715640504,0.33203255103946133,1.0,0.18455308808548349,0.0
OU+B,Difficult,12,OU+T,-7.9849529601796245,-0.725904814561784,0.49046876509191867,0.9090909090909091,-0.5074300952961611,0.0
OU+B,Difficult,13,OU+T,-6.8092915630066075,-0.6190265057278734,0.4642154109609596,1.0,-0.4603955018041523,0.0
OU+B,Difficult,14,OU+T,-6.508898315652842,-0.5917180286957129,0.43310926857951276,1.0,0.07029377262377805,0.0
OU+B,Difficult,15,OU+T,-11.661210458379088,-1.0601100416708262,0.6219293336926394,0.9090909090909091,-0.08784846776727677,0.0
OU+B,Difficult,16,OU,-7.455576846192164,-0.6777797132901967,0.4885933719491684,1.0,0.08957397974795868,0.0
OU+B,Difficult,17,OU,-8.163788412140546,-0.7421625829218678,0.4749325313309126,0.9090909090909091,-0.428646754744086,0.0
OU+B,Difficult,18,OU+T,-6.673621141589171,-0.606692831053561,0.4645431538506788,1.0,-0.20056007706634757,0.0
OU+B,Difficult,19,OULB,-6.068418411817105,-0.5516744010742823,0.40526884780694633,1.0,-0.24008258289899267,0.0
OU+B,Difficult,20,OU+B,-7.9801376936529795,-0.7254670630593618,0.49145173877733894,1.0,0.23354744425007767,1.0
OU+B,Difficult,21,OU,-7.430315748061925,-0.6754832498238114,0.47388356672590554,0.9090909090909091,-0.3880071549258266,0.0
OU+B,Difficult,22,OU,-8.068241006743229,-0.7334764551584754,0.5268412393975032,0.9090909090909091,-0.43213508083322477,0.0
OU+B,Difficult,23,OU+L,-3.7432573098887696,-0.3402961190807972,0.30433064793805503,1.0,-0.3706787665159622,0.0
OU+B,Difficult,24,OULB,-5.004401377543072,-0.4549455797766429,0.32370891770877197,1.0,0.04908929961401109,0.0
OU+B,Easy,0,OU,78.79708922336799,1.3355438851418304,0.06508727299642109,0.9830508474576272,-0.3579168064542241,0.0
OU+B,Easy,1,OU+T,81.37246525737793,1.379194326396236,0.060812490910507125,0.9830508474576272,-0.4466586492393708,0.0
OU+B,Easy,2,OU+T,89.48843194685175,1.5167530838449448,0.04839670556462738,1.0,-0.5631469294636396,0.0
OU+B,Easy,3,OU,76.9982816099904,1.305055620508312,0.06652917707944313,0.9830508474576272,-0.4077656381221649,0.0
OU+B,Easy,4,OU+T,76.09827408754667,1.28980125572113,0.0659372096092613,0.9152542372881356,-0.24687547423208198,0.0
OU+B,Easy,5,OU+T,76.17508904184186,1.2911032040990145,0.06592791897929379,0.9661016949152542,-0.4294883543312371,0.0
OU+B,Easy,6,OU+T,83.83714756736599,1.4209686028367117,0.057588540460540336,0.9830508474576272,-0.27032558807000046,0.0
OU+B,Easy,7,OU+L,78.1095955981941,1.3238914508168493,0.06339788878090377,0.9830508474576272,-0.1805324750766994,0.0
OU+B,Easy,8,OU,76.01096963794573,1.288321519287216,0.06762361839743196,0.9661016949152542,-0.579840783697323,0.0
OU+B,Easy,9,OU+T,76.8023137225361,1.3017341308904424,0.06628260452809426,0.9661016949152542,-0.3998589434823026,0.0
OU+B,Easy,10,OU,76.38202902689036,1.294610661472718,0.06605380033886005,0.9830508474576272,-0.4549461547775678,0.0
OU+B,Easy,11,OU+T,71.30395444449023,1.2085416007540717,0.0722578111390659,0.9491525423728814,-0.5619263068903183,0.0
OU+B,Easy,12,OU+L,77.70670928899905,1.3170628693050686,0.06432816387296625,0.9322033898305084,-0.3117624192163652,0.0
OU+B,Easy,13,OU+L,83.06531812484906,1.4078867478787975,0.059489152627647375,0.9830508474576272,-0.3387406945640402,0.0
OU+B,Easy,14,OU+L,80.63687006159033,1.3667266112133953,0.06133857315871393,0.9830508474576272,-0.23298014663595412,0.0
OU+B,Easy,15,OU+T,75.34983637780499,1.2771158708102541,0.06786128313617756,0.9661016949152542,-0.5065088220601397,0.0
OU+B,Easy,16,OU+L,87.0080115814206,1.474712060702044,0.052589454521772175,1.0,-0.4140709258225027,0.0
OU+B,Easy,17,OU+T,84.91044144095308,1.4391600244229334,0.05645629184703846,1.0,-0.2386296057719122,0.0
OU+B,Easy,18,OU+T,77.45946782580894,1.31287233603066,0.06538445983466087,0.9322033898305084,-0.6561908241320185,0.0
OU+B,Easy,19,OU+L,80.08183209718428,1.357319188087869,0.06220954331157367,0.9661016949152542,-0.4214632927860248,0.0
OU+B,Easy,20,OU,75.77985711749496,1.2844043579236433,0.06655903093606039,0.9491525423728814,-0.3410719596305883,0.0
OU+B,Easy,21,OU+L,84.49694927858566,1.4321516826878926,0.05581204401390593,1.0,-0.5132004133650013,0.0
OU+B,Easy,22,OU+L,78.02649647393123,1.3224829910835803,0.06358462775015773,0.9322033898305084,-0.48913251372159033,0.0
OU+B,Easy,23,OU+T,86.33322122810955,1.4632749360696533,0.05417641209456741,1.0,-0.40537218988531004,0.0
OU+B,Easy,24,OU+T,84.06807713110275,1.4248826632390297,0.05586866365102744,1.0,-0.4043339902915368,0.0
OU+B,Intermediate,0,OULB,-5.768727039458566,-0.25081421910689417,0.29103127543853957,0.8695652173913043,-0.19819461856023976,0.0
