generator_family,replicate,fitted_model,fit_success,test_elpd,test_elpd_per_obs,test_rmse,coverage95,residual_acf1
OULB,11,OU,True,-3.403239682165584,-0.1479669427028515,0.2879774446787689,0.8695652173913043,-0.4127570208751305
OULB,11,OULB,True,-3.8182988801072084,-0.16601299478726994,0.29035613930509674,0.8695652173913043,-0.4169964552933976
OULB,12,OU,True,0.719660665091777,0.031289594134425086,0.2485251759553236,0.9565217391304348,-0.5145270706911099
OULB,12,OULB,True,0.7721362901773998,0.0335711430511913,0.2479534758307358,1.0,-0.49315561750358844
OULB,13,OU,True,0.9569917429175661,0.04160833664858983,0.2388348476513374,1.0,-0.26078254449904564
OULB,13,OULB,True,1.2580267194890116,0.05469681389082659,0.23593200613932247,1.0,-0.2082854657888856
OULB,14,OU,True,2.960189228474721,0.1287038794989009,0.19917615179220105,0.9565217391304348,-0.0910126162006
OULB,14,OULB,True,3.183081323386129,0.138394840147223,0.1968748728302965,1.0,-0.1290103475094121
OULB,15,OU,True,3.122314221002564,0.13575279221750278,0.19559768343343867,1.0,-0.12533256382067792
OULB,15,OULB,True,2.453947898462169,0.10669338688965953,0.20401639511554168,1.0,-0.07049080346532693
OULB,16,OU,True,2.272761551186952,0.098815719616824,0.21515421104482887,1.0,-0.1628115452260547
OULB,16,OULB,True,1.9692022306741777,0.08561748829018163,0.21897135450126515,1.0,-0.1588750570636914
OULB,17,OU,True,-0.3333664237825279,-0.014494192338370779,0.23875651823072944,0.9565217391304348,-0.20410065411132214
OULB,17,OULB,True,-0.88074752495943,-0.03829337065041,0.24432911830401624,0.9565217391304348,-0.15641931101755122
OULB,18,OU,True,-0.2787121753431199,-0.012117920667092169,0.2453688119104039,0.9130434782608695,-0.46267438431495417
OULB,18,OULB,True,-0.3018743248051254,-0.013124970643701104,0.24590672181536663,0.9565217391304348,-0.44013889261399924
OULB,19,OU,True,1.85844044224765,0.08080175835859348,0.22292653300620777,1.0,-0.473085008623744
OULB,19,OULB,True,1.3552112041036926,0.058922226265377936,0.2274100769720472,1.0,-0.4777172582981536
OULB,20,OU,True,3.351217382495694,0.1457051035867693,0.19817379095624285,1.0,-0.5493423204240965
OULB,20,OULB,True,3.1540911295495384,0.13713439693693646,0.20087260833593312,1.0,-0.5383218029839926
OULB,21,OU,True,1.3849670992695624,0.06021596083780706,0.21977118772164503,1.0,-0.4512624587025731
OULB,21,OULB,True,1.5236394760085623,0.06624519460906793,0.21915757394590205,0.9565217391304348,-0.4513064011272101
OULB,22,OU,True,-9.9830552651022,-0.4340458810914,0.3453244094863438,0.8260869565217391,-0.6085923888186087
