generator,difficulty,dataset_role,trajectory_id,obs_index,time,latent_state,observed_state,treatment,true_branch,jump_event,true_theta,true_sigma,true_obs_noise,true_treatment_shift,true_jump_time,true_jump_size,true_jump_lambda,true_jump_scale,true_branch_time,true_branch_sep,true_branch_q,true_n_branch_switches
OU,Easy,train,2,4,0.9373641267784127,0.0,-0.03166981146786136,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,5,0.9827907009298986,0.0,0.13867592047164254,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,6,1.2174108718252763,0.0,-0.03933809514194478,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,7,1.7330070538869535,0.0,-0.09829226749932776,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,8,1.7554891709260245,0.0,0.011860987493499753,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,9,1.7558590714875555,0.0,0.020123872570075665,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,10,1.8847024981420069,0.0,-0.02081852417064582,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,11,1.9103134568321167,0.0,0.015907629622385143,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,12,1.9703392825746036,0.0,-0.02160695437593338,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,13,2.1771277187016636,0.0,-0.039184798091910805,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,14,2.2647220407024427,0.0,-0.05681559509070938,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,15,2.2749359328135466,0.0,0.03329220297641372,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,16,2.3390247098534767,0.0,-0.032041492310209446,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,17,2.402397787707108,0.0,0.01296426096032611,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,18,2.4559561864931823,0.0,-0.11386239027333758,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
