scenario,replicate,parameter,truth,estimate,error,abs_error,sq_error
brownian,26,drift,0.15,-0.03832561632531256,-0.18832561632531256,0.18832561632531256,0.03546653776430883
brownian,26,sigma,0.3,0.29136303979322803,-0.00863696020677196,0.00863696020677196,7.459708161336234e-05
ou,26,theta,0.8,0.6486471477179232,-0.15135285228207684,0.15135285228207684,0.022907685893920175
ou,26,mu,0.2,0.10182631778137266,-0.09817368221862735,0.09817368221862735,0.009638071880364028
ou,26,sigma,0.25,0.24049455063577843,-0.009505449364221569,0.009505449364221569,9.035356761578023e-05
shifted_ou,26,theta,0.7,2.3474582000049815,1.6474582000049816,1.6474582000049816,2.714118520763654
shifted_ou,26,mu0,0.1,-0.09201975425648176,-0.19201975425648177,0.19201975425648177,0.03687158602471965
shifted_ou,26,delta,0.6,0.5674918813854646,-0.0325081186145354,0.0325081186145354,0.0010567777758567027
shifted_ou,26,sigma,0.2,0.19351233457857392,-0.006487665421426092,0.006487665421426092,4.2089802620367795e-05
brownian,27,drift,0.15,-0.03035310760020211,-0.1803531076002021,0.1803531076002021,0.032527243421050074
brownian,27,sigma,0.3,0.288483951431716,-0.011516048568283976,0.011516048568283976,0.00013261937462707543
ou,27,theta,0.8,0.9452793742847359,0.1452793742847358,0.1452793742847358,0.021106096592564356
ou,27,mu,0.2,0.10749122362544543,-0.09250877637455458,0.09250877637455458,0.008557873706317349
ou,27,sigma,0.25,0.3009850789858588,0.0509850789858588,0.0509850789858588,0.0025994782791942607
shifted_ou,27,theta,0.7,0.9965113966873491,0.29651139668734916,0.29651139668734916,0.08791900836548254
shifted_ou,27,mu0,0.1,-0.026079683705064537,-0.12607968370506453,0.12607968370506453,0.015896086643169115
shifted_ou,27,delta,0.6,0.5955601738430538,-0.004439826156946158,0.004439826156946158,1.9712056303903292e-05
shifted_ou,27,sigma,0.2,0.1963184799023637,-0.0036815200976363094,0.0036815200976363094,1.3553590229300062e-05
brownian,28,drift,0.15,0.23475270369473872,0.08475270369473872,0.08475270369473872,0.007183020783568179
brownian,28,sigma,0.3,0.2454016487217907,-0.05459835127820928,0.05459835127820928,0.0029809799622987367
ou,28,theta,0.8,0.8824430536782962,0.08244305367829619,0.08244305367829619,0.006796857099802426
ou,28,mu,0.2,0.3347236563364957,0.1347236563364957,0.1347236563364957,0.018150463576674197
ou,28,sigma,0.25,0.2629645043873196,0.012964504387319609,0.012964504387319609,0.00016807837400882939
shifted_ou,28,theta,0.7,4.579721929118753,3.8797219291187526,3.8797219291187526,15.052242247284935
shifted_ou,28,mu0,0.1,0.16578522591771125,0.06578522591771124,0.06578522591771124,0.004327695949044307
shifted_ou,28,delta,0.6,0.1974564695305902,-0.40254353046940977,0.40254353046940977,0.16204129392277664
shifted_ou,28,sigma,0.2,0.27602700760245186,0.07602700760245185,0.07602700760245185,0.0057801058849832705
brownian,29,drift,0.15,-0.013977760950815021,-0.163977760950815,0.163977760950815,0.026888706086442633
brownian,29,sigma,0.3,0.2884364024073885,-0.011563597592611496,0.011563597592611496,0.0001337167892838504
ou,29,theta,0.8,0.9760818920304248,0.1760818920304248,0.1760818920304248,0.031004832701014173
ou,29,mu,0.2,0.2944046963984788,0.09440469639847882,0.09440469639847882,0.008912246702088959
ou,29,sigma,0.25,0.2797592331043736,0.029759233104373617,0.029759233104373617,0.0008856119549604466
shifted_ou,29,theta,0.7,2.1122640596075177,1.4122640596075178,1.4122640596075178,1.9944897740591065
shifted_ou,29,mu0,0.1,-0.03476525976320378,-0.13476525976320378,0.13476525976320378,0.01816167523904379
